date,crop_type,region,demand_kg,price_per_kg,festival_flag,month,week_of_year
2018-01-01,maize,Tarkwa,279.2,1.73,0,1,1
2018-01-08,maize,Tarkwa,285.2,1.86,0,1,2
2018-01-15,maize,Tarkwa,285.5,1.87,0,1,3
2018-01-22,maize,Tarkwa,325.0,1.66,0,1,4
2018-01-29,maize,Tarkwa,294.9,1.71,0,1,5
2018-02-05,maize,Tarkwa,249.1,1.83,0,2,6
2018-02-12,maize,Tarkwa,278.7,1.79,0,2,7
2018-02-19,maize,Tarkwa,293.2,1.82,0,2,8
2018-02-26,maize,Tarkwa,303.0,1.76,0,2,9
2018-03-05,maize,Tarkwa,339.7,1.61,0,3,10
2018-03-12,maize,Tarkwa,319.3,1.61,0,3,11
2018-03-19,maize,Tarkwa,317.4,1.56,0,3,12
2018-03-26,maize,Tarkwa,305.1,1.63,0,3,13
2018-04-02,maize,Tarkwa,523.4,1.6,1,4,14
2018-04-09,maize,Tarkwa,494.6,1.51,1,4,15
2018-04-16,maize,Tarkwa,310.8,1.59,0,4,16
2018-04-23,maize,Tarkwa,304.5,1.51,0,4,17
2018-04-30,maize,Tarkwa,335.4,1.62,0,4,18
2018-05-07,maize,Tarkwa,324.4,1.58,0,5,19
2018-05-14,maize,Tarkwa,304.9,1.57,0,5,20
2018-05-21,maize,Tarkwa,320.9,1.54,0,5,21
2018-05-28,maize,Tarkwa,314.8,1.66,0,5,22
2018-06-04,maize,Tarkwa,310.3,1.72,0,6,23
2018-06-11,maize,Tarkwa,307.7,1.7,0,6,24
2018-06-18,maize,Tarkwa,305.4,1.7,0,6,25
2018-06-25,maize,Tarkwa,316.0,1.76,0,6,26
2018-07-02,maize,Tarkwa,280.3,1.97,0,7,27
2018-07-09,maize,Tarkwa,277.6,1.98,0,7,28
2018-07-16,maize,Tarkwa,262.5,1.98,0,7,29
2018-07-23,maize,Tarkwa,273.3,2.11,0,7,30
2018-07-30,maize,Tarkwa,290.0,1.91,0,7,31
2018-08-06,maize,Tarkwa,430.9,1.92,1,8,32
2018-08-13,maize,Tarkwa,449.9,1.89,1,8,33
2018-08-20,maize,Tarkwa,443.6,2.01,1,8,34
2018-08-27,maize,Tarkwa,435.9,2.05,1,8,35
2018-09-03,maize,Tarkwa,327.6,1.75,0,9,36
