date,crop_type,region,market_name,price_per_kg,currency,source
2018-01-01,maize,Tarkwa,Tarkwa Central Market,1.73,GHS,WFP-GIEWS-Ghana
2018-01-08,maize,Tarkwa,Tarkwa Central Market,1.86,GHS,WFP-GIEWS-Ghana
2018-01-15,maize,Tarkwa,Tarkwa Central Market,1.87,GHS,WFP-GIEWS-Ghana
2018-01-22,maize,Tarkwa,Tarkwa Central Market,1.66,GHS,WFP-GIEWS-Ghana
2018-01-29,maize,Tarkwa,Tarkwa Central Market,1.71,GHS,WFP-GIEWS-Ghana
2018-02-05,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2018-02-12,maize,Tarkwa,Tarkwa Central Market,1.79,GHS,WFP-GIEWS-Ghana
2018-02-19,maize,Tarkwa,Tarkwa Central Market,1.82,GHS,WFP-GIEWS-Ghana
2018-02-26,maize,Tarkwa,Tarkwa Central Market,1.76,GHS,WFP-GIEWS-Ghana
2018-03-05,maize,Tarkwa,Tarkwa Central Market,1.61,GHS,WFP-GIEWS-Ghana
2018-03-12,maize,Tarkwa,Tarkwa Central Market,1.61,GHS,WFP-GIEWS-Ghana
2018-03-19,maize,Tarkwa,Tarkwa Central Market,1.56,GHS,WFP-GIEWS-Ghana
2018-03-26,maize,Tarkwa,Tarkwa Central Market,1.63,GHS,WFP-GIEWS-Ghana
2018-04-02,maize,Tarkwa,Tarkwa Central Market,1.6,GHS,WFP-GIEWS-Ghana
2018-04-09,maize,Tarkwa,Tarkwa Central Market,1.51,GHS,WFP-GIEWS-Ghana
2018-04-16,maize,Tarkwa,Tarkwa Central Market,1.59,GHS,WFP-GIEWS-Ghana
2018-04-23,maize,Tarkwa,Tarkwa Central Market,1.51,GHS,WFP-GIEWS-Ghana
2018-04-30,maize,Tarkwa,Tarkwa Central Market,1.62,GHS,WFP-GIEWS-Ghana
2018-05-07,maize,Tarkwa,Tarkwa Central Market,1.58,GHS,WFP-GIEWS-Ghana
2018-05-14,maize,Tarkwa,Tarkwa Central Market,1.57,GHS,WFP-GIEWS-Ghana
2018-05-21,maize,Tarkwa,Tarkwa Central Market,1.54,GHS,WFP-GIEWS-Ghana
2018-05-28,maize,Tarkwa,Tarkwa Central Market,1.66,GHS,WFP-GIEWS-Ghana
2018-06-04,maize,Tarkwa,Tarkwa Central Market,1.72,GHS,WFP-GIEWS-Ghana
2018-06-11,maize,Tarkwa,Tarkwa Central Market,1.7,GHS,WFP-GIEWS-Ghana
2018-06-18,maize,Tarkwa,Tarkwa Central Market,1.7,GHS,WFP-GIEWS-Ghana
2018-06-25,maize,Tarkwa,Tarkwa Central Market,1.76,GHS,WFP-GIEWS-Ghana
2018-07-02,maize,Tarkwa,Tarkwa Central Market,1.97,GHS,WFP-GIEWS-Ghana
2018-07-09,maize,Tarkwa,Tarkwa Central Market,1.98,GHS,WFP-GIEWS-Ghana
2018-07-16,maize,Tarkwa,Tarkwa Central Market,1.98,GHS,WFP-GIEWS-Ghana
2018-07-23,maize,Tarkwa,Tarkwa Central Market,2.11,GHS,WFP-GIEWS-Ghana
2018-07-30,maize,Tarkwa,Tarkwa Central Market,1.91,GHS,WFP-GIEWS-Ghana
2018-08-06,maize,Tarkwa,Tarkwa Central Market,1.92,GHS,WFP-GIEWS-Ghana
2018-08-13,maize,Tarkwa,Tarkwa Central Market,1.89,GHS,WFP-GIEWS-Ghana
